sentences,labels,sentences_zh
Transcriptomic analysis of human and mouse muscle during hyperinsulinemia demonstrates insulin receptor downregulation as a mechanism for insulin resistance,physiology,高胰岛素血症期间人和小鼠肌肉的转录组分析表明胰岛素受体下调是胰岛素抵抗的机制
Endocytosis against high turgor pressure is made easier by partial protein coating and a freely rotating base,biophysics,通过部分蛋白涂层和自由旋转的底座使针对高急性压力的内吞作用变得更容易
Negative Affect Induces Rapid Learning of Counterfactual Representations: A Model-based Facial Expression Analysis Approach,neuroscience,负面影响引起反事实表示的快速学习：一种基于模型的面部表达分析方法
Coding Triplets in the Transfer RNA acceptor Arm and Their Role in Present and Past tRNA Recognition,genetics,传输RNA受体组中的编码三胞胎及其在当前和过去的tRNA识别中的作用
"Internal noise measures in coarse and fine motion direction discrimination tasks, and the correlation with autism traits",neuroscience,内部噪声措施以粗糙和精细的运动方向歧视任务以及与自闭症特征的相关性
Polymer brush bilayers under stationary shear motion at linear response regime: A theoretical approach,biophysics,在线性响应方面的固定剪切运动下的聚合物刷双层：一种理论方法
What the odor is not: Estimation by elimination,neuroscience,气味不是：消除估算
The Cdc14 phosphatase controls resolution of recombination intermediates and crossover formation during meiosis,genetics,CDC14磷酸酶控制减数分裂过程中重组中间体和跨界形成的分辨率
The solution structure of Dead End bound to AU-rich RNA reveals an unprecedented mode of tandem RRM-RNA recognition required for mRNA regulation,molecular biology,与富含AU的RNA结合的死端的溶液结构揭示了mRNA调节所需的串联RRM-RNA识别的前所未有的模式
"Conserving unprotected important coastal habitats in the Yellow Sea: shorebird occurrence, distribution and food resources at Lianyungang",ecology,在黄海保存未受保护的重要沿海栖息地：Lianyungang的海鸟发生，分配和食物资源
Eco-evolutionary dynamics further weakens mutualistic interaction and coexistence under population decline,ecology,生态进化动态进一步削弱了人口下降下的相互作用和共存
Event segmentation reveals working memory forgetting rate,neuroscience,事件细分显示工作内存遗忘率
Recombination-independent recognition of DNA homology for meiotic silencing in Neurospora crassa,molecular biology,对Neurospora Crassa中减数分裂沉默的DNA同源性的重组识别的识别
Publicly available transcriptomes provide the opportunity for dual RNA-Seq meta analysis in Plasmodium infection,bioinformatics,公开可用的转录组为疟原虫感染中的双RNA-seq元分析提供了机会
"Common variants associated with OSMR expression contribute to carotid plaque vulnerability, but not to cardiovascular disease in humans",genetics,与OSMR表达相关的常见变体有助于颈动脉斑块脆弱性，但不导致人类心血管疾病
Liver X Receptor; Controls Hepatic Stellate Cell Activation via Hedgehog Signaling,cell biology,肝X受体；通过刺猬信号传导控制肝星状细胞激活
Balancing selection of the Intracellular Pathogen Response in natural Caenorhabditis elegans populations,genetics,平衡天然秀丽隐杆线虫种群中细胞内病原体反应的选择
A candidate causal variant underlying both enhanced cognitive performance and increased risk of bipolar disorder,genetics,候选因果变体既增强的认知表现又增加了双相情感障碍的风险
"PME-1 suppresses anoikis, and is associated with therapy relapse of PTEN-deficient prostate cancers",cancer biology,PME-1抑制ANOIKI，并与PTEN缺陷前列腺癌的治疗复发有关
A stable pollination environment limits current but not potential evolution of floral traits,evolutionary biology,稳定的授粉环境限制了花卉特征的当前但不潜在的演变
Protein structure without structure determination: direct coupling analysis based on in vitro evolution,evolutionary biology,蛋白质结构没有结构确定：基于体外进化的直接耦合分析
Variations in Structural MRI Quality Significantly Impact Commonly-Used Measures of Brain Anatomy,neuroscience,结构MRI质量的变化显着影响了脑解剖结构的常用措施
Rapid neural representations of personally relevant faces,neuroscience,个人相关面孔的快速神经表现
Single trial dynamics of attentional intensity in visual area V4,neuroscience,视觉区域V4注意强度的单个试验动力学
"Quantifying Climatic and Socio-Economic Influences on Urban Malaria in Surat, India: A Modelling Study",ecology,量化印度苏拉特市城市疟疾的气候和社会经济影响：一项建模研究
Genomic data and multi-species demographic modelling uncover past hybridization between currently allopatric freshwater species,evolutionary biology,基因组数据和多物种人口统计模型发现了当前同种异体淡水物种之间的过去杂交
Effective clustering for single cell sequencing cancer data,cancer biology,单细胞测序癌症数据的有效聚类
